Requested,Remaining,Date,Item,Description
16,16,6/1/2016,05907UT,ANTENNARIA DIOICA RUBRA
6,6,6/1/2016,027071,CLEM X PINK CHAMPAGNE
6,6,6/1/2016,088891,CORE BIGBANG TM MRCRY RSNG PAF
6,6,6/1/2016,408551,CORE LIL' BANG TM DAYBREAK PAF
6,6,6/1/2016,408541,CORE LIL' BANG TM RED ELF
6,6,6/1/2016,408531,CORE LIL' BANG TM STARLIGHT
10,10,6/1/2016,027587,CORNUS X STELLAR PINK R
5,5,6/1/2016,402923S,GENISTA LYDIA BANGLE TM
12,12,6/1/2016,037541,HEUCHERA OBSIDIAN PP14836
12,12,6/1/2016,046641,HEUCHERA VIL CARAMEL PP16560
12,12,6/1/2016,403531,HOSTA BLUE MOUSE EARS
12,12,6/1/2016,017491,HOSTA FIRE & ICE
12,12,6/1/2016,093111,HOSTA RAINFOREST SUNRISE
12,12,6/1/2016,403641,HOSTA SO SWEET
5,5,6/1/2016,403923,HYD M NXT GEN RED SNSTN P18197
10,10,6/1/2016,403923,HYD M NXT GEN RED SNSTN P18197
5,5,6/1/2016,074562S,HYD MAC CTYLN TM PARIS PP10906
6,6,6/1/2016,067832,LONICERA SEMP MAJOR WHEELER
2,2,6/1/2016,402725,MALUS URBN BLUSH DELITE P21511
2,2,6/1/2016,402745,MALUS X URBAN TANGY GREEN
2,2,6/1/2016,402755,MALUS X URBAN TASTY RED
10,10,6/1/2016,098552S,ROSA DRIFT R CORAL PP19148
10,10,6/1/2016,022642S,ROSA DRIFT R RED PP17877
16,16,6/1/2016,03028UT,SEDUM DRAGON'S BLOOD
16,16,6/1/2016,06505UT,SEDUM GLOBOSUM OLD MAN'S BONES
16,16,6/1/2016,01182UT,SEDUM JOHN CREECH
16,16,6/1/2016,06559UT,SEMPERVIVUM BLACK
16,16,6/1/2016,06560UT,SEMPERVIVUM GREEN WHEEL
10,10,6/1/2016,407051,VACCINIUM ANG BRUNSWICK
8,8,6/1/2016,017391,VERONICA ROYAL CANDLES PP18932
4,4,6/1/2016,017391,VERONICA ROYAL CANDLES PP18932
5,5,6/1/2016,407205,VIBURNUM PLI T POPCORN
,,,,
,,,,
"© 2007,2009 Monrovia Nursery Company. This information may represent Trade Secret information and may not be distributed without permission.",,,,
