Loc,Item,Size,Description
CA,068732,#2,AEONIUM SUNBURST
CA,064081,#1,ALOE BLUE ELF
CA,063802,#2,ALOE DOROTHEAE
CA,066382,#2,ALST ROCK & ROLL R PP21001
CA,004401,#1,AZALEA B ALASKA
CA,004402,#2,AZALEA B ALASKA
CA,004405,#5,AZALEA B ALASKA
CA,004751,#1,AZALEA B HAPPY DAYS
CA,005251,#1,AZALEA B ROSE GLOW
CA,005252,#2,AZALEA B ROSE GLOW
CA,005252PT,#2 PATIO TREE,AZALEA B ROSE GLOW
CA,007401,#1,AZALEA GR FUCHSIA
CA,007402,#2,AZALEA GR FUCHSIA
CA,007451,#1,AZALEA GR GIRARD HOT SHOT
CA,007452,#2,AZALEA GR GIRARD HOT SHOT
CA,007601,#1,AZALEA GR ROSE
CA,007602,#2,AZALEA GR ROSE
CA,002071,#1,AZALEA GR SILVER SWORD
CA,005601,#1,AZALEA S BRILLIANT
CA,005605,#5,AZALEA S BRILLIANT
CA,005605PT,#5 PATIO TREE,AZALEA S BRILLIANT
CA,005651,#1,AZALEA S DUC DE ROHAN
CA,005751,#1,AZALEA S GEORGE L TABER
CA,005755,#5,AZALEA S GEORGE L TABER
CA,005755PT,#5 PATIO TREE,AZALEA S GEORGE L TABER
CA,005955,#5,AZALEA S IMP PRINCESS TM
CA,006001,#1,AZALEA S IMP QUEEN TM
CA,006101,#1,AZALEA S L J BOBBINK
CA,004831,#1,AZALEA S MISTRAL
CA,004835,#5,AZALEA S MISTRAL
CA,006151,#1,AZALEA S NUCCIO'S CARNIVAL
CA,006155,#5,AZALEA S NUCCIO'S CARNIVAL
CA,006301,#1,AZALEA S PHOENICIA
CA,006305,#5,AZALEA S PHOENICIA
CA,006305PT,#5 PATIO TREE,AZALEA S PHOENICIA
CA,006401,#1,AZALEA S RED RUFFLES
CA,006402,#2,AZALEA S RED RUFFLES
CA,006405,#5,AZALEA S RED RUFFLES
CA,006501,#1,AZALEA S SOUTHERN CHARM
CA,006505,#5,AZALEA S SOUTHERN CHARM
CA,006505PT,#5 PATIO TREE,AZALEA S SOUTHERN CHARM
CA,007361,#1,AZALEA SK GETSUTOKU
CA,008511,#1,AZALEA SK SHUGETSU
CA,012515,#5 STAKED,BIGNONIA CAP TANGERINE BEAUTY
CA,038425,#5,CERCIS C ACE OF HEARTS PP17161
CA,038415,#5,CERCIS C HEARTS OF GOLD P17740
CA,023577,#7,CERCIS CAN OKLAHOMA
CA,017857,#7,CERCIS LAVENDER TWIST R P10328
CA,030822,#2,CHAENOMELES CAMEO
CA,038205,#5,CYTISUS X SPACHIANUS
CA,032121,#1,ERIGERON GLA SEA BREEZE P12076
CA,077581,#1,ERYSIMUM JENNY BROOK PP20253
CA,068351,#1,FRAGARIA ALBION R PP16228
CA,073101,#1,FRAGARIA X SAN ANDREAS PP19975
CA,068361,#1,FRAGARIA X SEASCAPE R
CA,088831,#1,GAILLARDIA ARIZONA RED SHADES
CA,035711,#1,GAILLARDIA ARIZONA SUN
CA,089221,#1,GAILLARDIA FANFARE BLZE P23494
CA,036441,#1,GAILLARDIA ORNGS&LEMONS P17092
CA,038101,#1 STAKED,GELSEMIUM SEMPERVIRENS
CA,038105,#5 STAKED,GELSEMIUM SEMPERVIRENS
CA,072991,#1,HELLEBORUS X PINK FROST PPAF
CA,047085,#5,PAEONIA ITOH KEIKO TM (PK D D)
CA,052595,#5,PAEONIA ITOH TAKARA TM PP22374
CA,079441,#1,PENST PRPLE RIDING HOOD P23067
CA,028511,#1,PENSTEMON HET MARGARITA BOP
CA,07030MT,#10 Tall TREE,PRUNUS PER BONFIRE PEACH
CA,070155,#5,ROSA-CL-BANKSIAE ALBA PLENA
CA,070201,#1,ROSA-CL-BANKSIAE LUTEA
CA,070205,#5,ROSA-CL-BANKSIAE LUTEA
CA,011891,#1,SISYRINCHIUM ANG LUCERNE
CA,071611,#1,SPIRAEA X VAN RENAISSANCE
CA,071612,#2,SPIRAEA X VAN RENAISSANCE
CA,074682S,SuperTwo,SYRINGA BLOOMERNG R PUR P20575
CA,072001,#1,SYRINGA X CHINENSIS
CA,072005,#5,SYRINGA X CHINENSIS
CA,072742,#2,TEUCRIUM FRUTICANS AZUREUM
CA,022142,#2 STAKED,THUNBERGIA AL BLUSHING SUSIE
CA,076771,#1 STAKED,WISTERIA FL TEXAS PURPLE
