PLU,LocationNo,Item_no,Dept,Description,Ext_Desc,Sizes,Price,Primary_Vendor,Cost,ZeroPriceOK,Start
14949000823,1,82,140,ABIES BALSAMEA NANA,,2,$49.99 ,25,20.5,1,5
14949008577,1,00084M,110,ACER PAL EMPEROR I R,,10,$238.99 ,25,99.5,1,6
14949007730,1,18335,110,ACER PAL SHISHIGASHIRA,,5,$123.99 ,25,51.5,1,3
14949006245,1,17985,110,ACER PLAT CRIMSON SENTRY,,5,$61.99 ,25,25.75,1,5
14949120521,1,12052,130,BER T CRIMSON PYGMY,,2,$28.99 ,25,12,1,5
14949122020,1,12202,130,BER T ROSE GLOW,,2,$28.99 ,25,12,1,15
14949119327,1,11932,130,BER T SUNSATION R PP11332 CBR,,2,$28.99 ,25,11.75,1,10
14949138236,1,13823,140,BUXUS GREEN MOUNTAIN,,3,$49.99 ,25,20.5,1,5
14949047712,1,013891S,140,BUXUS GREEN VELVET,,1S,$17.99 ,25,7.25,1,10
14949138922,1,13892,140,BUXUS GREEN VELVET,,2,$34.99 ,25,14.25,1,10
14949069028,1,08240UT,140,CHAM PIS BABY BLUE,,QT,$10.99 ,25,4.2,1,8
14949240328,1,24032,140,CHAM PIS FIL GOLDEN CHARM,,2,$32.99 ,25,13.5,1,5
14949069004,1,02403UT,140,CHAM PIS FIL GOLDEN CHARM,,QT,$10.99 ,25,4.2,1,16
14949069011,1,02382UT,140,CHAM PIS SQUARROSA MINIMA,,QT,$10.99 ,25,4.2,1,8
14949230329,1,39512,150,CIMI S BLACK NEGLIGEE (ACTAEA),,2,$37.99 ,25,15.5,1,50
14949285022,1,28502,130,COT APICULATUS,,2,$29.99 ,25,12.5,1,5
14949281451,1,28145,130,COTINUS COG ROYAL PURPLE,,5,$62.99 ,25,26.25,1,15
14949348291,1,56422,130,DEUTZIA SET CORYMBIFLORA,,2,$35.99 ,25,15,1,5
14949358528,1,35622,150,DICENTRA SPEC GOLD HEART,,2,$33.99 ,25,14,1,20
14949340011,1,34001,140,EUO F EMERALD 'N GOLD,,1,$12.99 ,25,5.25,1,20
14949345016,1,34501,140,EUO F MOONSHADOW,,1,$16.99 ,25,6.75,1,15
14949035559,1,03612UT,150,FERN-ATHYRIUM NIP PICTUM,,QT,$10.99 ,25,4.25,1,20
14949364529,1,36452,150,FERN-MATTEUCCIA STRUTHIOPTERIS,,2,$33.99 ,25,14,1,15
14949010808,1,03828UT,150,GERANIUM CIN SUBCAULESCENS,,QT,$7.99 ,25,3,1,16
14949066553,1,17522,150,HOSTA GUACAMOLE,,2,$31.99 ,25,13,1,10
14949839713,1,83971,150,HOSTA SUM & SUBSTANCE,,1,$14.99 ,25,6,1,20
14949336229,1,074592S,130,HYD MAC LD R MOONLIGHT PP20020,,2S,$35.99 ,25,14.75,1,25
14949440117,1,44011,150,IRIS EN VARIEGATA,,1,$16.99 ,25,6.75,1,30
14949465011,1,46501,130,ITEA VIR HENRYS GARNET,,1,$14.99 ,25,6.25,1,10
14949465028,1,46502,130,ITEA VIR HENRYS GARNET,,2,$32.99 ,25,13.75,1,10
14949336878,1,046491S,130,ITEA VIR LITTLE HENRY R P10988,,1S,$18.99 ,25,7.75,1,10
14949468753,1,46875,140,JUN C BLUE POINT,,5,$53.99 ,25,22.5,1,5
14949846551,1,84655,140,JUN C DAUB'S FROSTED,,5,$38.99 ,25,16,1,7
14949499252,1,049905PT,140,JUN H ICEE BLUE R P9639,,5,$125.99 ,25,52.5,1,2
14949572757,1,57275,140,LARIX DECIDUA PENDULA,,5,$111.99 ,25,46.5,1,2
14949344491,1,02147UT,160,LAURUS NOBILIS EMERALD WAVE R,,QT,$10.99 ,25,4.35,1,8
14949604052,1,60405,130,MAG STELLATA ROYAL STAR,,5,$51.99 ,25,21.5,1,5
14949219836,1,34652,130,PHYSOCARPUS CENTER GLOW P16894,,2,$32.99 ,25,13.75,1,10
14949337189,1,029941S,130,PHYSOCARPUS SUMR WINE R P14821,,1S,$20.99 ,25,8.75,1,20
14949645628,1,64562,140,PICEA ABIES NIDIFORMIS,,2,$29.99 ,25,12.5,1,5
14949651124,1,064622P2,140,PICEA GL CONICA,,2,$87.99 ,25,36.5,1,2
14949646526,1,64652,140,PICEA GL DENSATA,,2,$37.99 ,25,15.75,1,5
14949646625,1,64662,140,PICEA PUN GLAUCA,,2,$37.99 ,25,15.75,1,10
14949647851,1,64785,140,PICEA PUN GLAUCA FAT ALBERT,,5,$88.99 ,25,36.75,1,5
14949016589,1,19395,140,PICEA PUN THE BLUES,,5,$88.99 ,25,36.75,1,5
14949653951,1,65395,140,PINUS FL VANDERWOLFES PYRAMID,,5,$88.99 ,25,36.75,1,5
14949706121,1,70612,130,SALIX INTEGRA HAKURO NISHIKI,,2,$31.99 ,25,13,1,30
14949706558,1,070615PT,110,SALIX INTEGRA HAKURO NISHIKI,,5,$95.99 ,25,40,1,11
14949787014,1,70261,150,SALVIA X SYL MAY NIGHT,,1,$11.99 ,25,4.8,1,30
14949030523,1,17665,130,SYMPH BRIGHT FANTASY TM P14570,,5,$50.99 ,25,21,1,5
14949030585,1,17695,130,SYMPH SCARLET PEARL PP13244,,5,$50.99 ,25,21,1,5
14949729427,1,72942,140,THUJA OC DANICA,,2,$29.99 ,25,12.5,1,5
14949336724,1,075081S,130,WEIGELA FL GHOST TM PP20025,,1S,$19.99 ,25,8,1,10
14949349397,1,075082S,130,WEIGELA FL GHOST TM PP20025,,2S,$35.99 ,25,14.75,1,10
14949214190,1,17572,130,WEIGELA MAGICAL R FNTSY P13567,,2,$31.99 ,25,13.25,1,10
